,g1,g2
38120,ATP1A1,RAB3B
38121,ATP1A1,RAB5A
38122,ATP1A1,RAB5C
38123,ATP1A1,RAB9A
38124,ATP1A1,RAC1
38125,ATP1A1,RAC2
38126,ATP1A1,RAC3
38127,ATP1A1,RAD18
38128,ATP1A1,RBM39
38129,ATP1A1,RBX1
38130,ATP1A1,RCHY1
38131,ATP1A1,RECQL4
38132,ATP1A1,RHOA
38133,ATP1A1,RHOB
38134,ATP1A1,RHOC
38135,ATP1A1,RHOD
38136,ATP1A1,RHOF
38137,ATP1A1,RHOG
38138,ATP1A1,RHOH
38139,ATP1A1,RHOJ
38140,ATP1A1,RHOQ
38141,ATP1A1,RHOU
38142,ATP1A1,RIN3
38143,ATP1A1,RIT1
38144,ATP1A1,RND2
38145,ATP1A1,RND3
38146,ATP1A1,RNF185
38147,ATP1A1,RNF213
38148,ATP1A1,RNF4
38149,ATP1A1,RPL23
38150,ATP1A1,RPN1
38151,ATP1A1,RPN2
38152,ATP1A1,RPS27A
38153,ATP1A1,RPS3
38154,ATP1A1,RPS6KB2
38155,ATP1A1,RPS7
38156,ATP1A1,RRP12
38157,ATP1A1,RRP1B
38158,ATP1A1,RSL1D1
38159,ATP1A1,RTN4
38160,ATP1A1,RUVBL1
38161,ATP1A1,RNF183
38162,ATP1A1,S
38163,ATP1A1,SART3
38164,ATP1A1,SCD
38165,ATP1A1,SDHA
38166,ATP1A1,SEC61B
38167,ATP1A1,SEC62
38168,ATP1A1,SF3B1
38169,ATP1A1,SFXN1
38170,ATP1A1,SHMT2
38171,ATP1A1,SIRT7
38172,ATP1A1,SKI
38173,ATP1A1,SLC12A1
38174,ATP1A1,SLC15A3
38175,ATP1A1,SLC1A5
38176,ATP1A1,SLC25A1
38177,ATP1A1,SLC25A28
38178,ATP1A1,SLC25A3
38179,ATP1A1,SLC25A5
38180,ATP1A1,SLC3A2
38181,ATP1A1,SLC7A5
38182,ATP1A1,SMARCA5
38183,ATP1A1,SNAPIN
38184,ATP1A1,SND1
38185,ATP1A1,SNRNP200
38186,ATP1A1,SOD1
38187,ATP1A1,SPPL2B
38188,ATP1A1,SPRTN
38189,ATP1A1,SQSTM1
38190,ATP1A1,SRC
38191,ATP1A1,SRRM2
38192,ATP1A1,SSR2
38193,ATP1A1,STAT1
38194,ATP1A1,STAU1
38195,ATP1A1,STX4
38196,ATP1A1,STX7
38197,ATP1A1,SLC8A1
38198,ATP1A1,SNAP25
38199,ATP1A1,SNAPIN
38200,ATP1A1,SNX6
38201,ATP1A1,SOX17
38202,ATP1A1,STAU1
38203,ATP1A1,TCOF1
38204,ATP1A1,TCP1
38205,ATP1A1,TCTN3
38206,ATP1A1,TECR
38207,ATP1A1,TJP1
38208,ATP1A1,TKT
38209,ATP1A1,TLN1
38210,ATP1A1,TMCO1
38211,ATP1A1,TMED2
38212,ATP1A1,TMEM17
38213,ATP1A1,TMEM63B
38214,ATP1A1,TMPO
38215,ATP1A1,TMPRSS11B
38216,ATP1A1,TNIP2
38217,ATP1A1,TOLLIP
38218,ATP1A1,TOMM22
38219,ATP1A1,TOMM40
38220,ATP1A1,TOMM5
38221,ATP1A1,TP53
38222,ATP1A1,TP53BP1
38223,ATP1A1,TPM3
38224,ATP1A1,TPM4
38225,ATP1A1,TRIM28
38226,ATP1A1,TRIM31
38227,ATP1A1,TRIP12
38228,ATP1A1,TRPC6
38229,ATP1A1,TUBA1C
38230,ATP1A1,TUBB
38231,ATP1A1,TXNIP
38232,ATP1A1,TMEM173
38233,ATP1A1,TNPO1
38234,ATP1A1,TPT1
38235,ATP1A1,TRPC5
38236,ATP1A1,TRPC6
38237,ATP1A1,TUBG1
38238,ATP1A1,U2AF2
38239,ATP1A1,UBC
38240,ATP1A1,UBE2L6
38241,ATP1A1,UBE2M
38242,ATP1A1,UBE3A
38243,ATP1A1,UBQLN2
38244,ATP1A1,UCHL1
38245,ATP1A1,UFL1
38246,ATP1A1,UGDH
38247,ATP1A1,UNC93B1
38248,ATP1A1,UQCRC1
38249,ATP1A1,UQCRC2
38250,ATP1A1,UQCRQ
38251,ATP1A1,USP11
38252,ATP1A1,UBC
38253,ATP1A1,UVRAG
38254,ATP1A1,VAMP3
38255,ATP1A1,VAV1
38256,ATP1A1,VCP
38257,ATP1A1,VDAC1
38258,ATP1A1,VDAC2
38259,ATP1A1,VDAC3
38260,ATP1A1,VAMP2
38261,ATP1A1,WDR36
38262,ATP1A1,WDR46
38263,ATP1A1,WDR5
38264,ATP1A1,WDR76
38265,ATP1A1,WWOX
38266,ATP1A1,WDTC1
