,g1,g2
20539,AHNAK,RPL14
20540,AHNAK,RPL23A
20541,AHNAK,RRBP1
20542,AHNAK,RUVBL1
20543,AHNAK,RNF183
20544,AHNAK,S100A10
20545,AHNAK,S100B
20546,AHNAK,S100A10
20547,AHNAK,SDC1
20548,AHNAK,SEC16A
20549,AHNAK,SETD1A
20550,AHNAK,SIRT7
20551,AHNAK,SKI
20552,AHNAK,SNW1
20553,AHNAK,SPDL1
20554,AHNAK,SQSTM1
20555,AHNAK,ST14
20556,AHNAK,STIP1
20557,AHNAK,STMN1
20558,AHNAK,STRN
20559,AHNAK,STUB1
20560,AHNAK,SUMO2
20561,AHNAK,TANK
20562,AHNAK,TARDBP
20563,AHNAK,TARS
20564,AHNAK,TMEM184A
20565,AHNAK,TMPO
20566,AHNAK,TOLLIP
20567,AHNAK,TP53
20568,AHNAK,TRIM25
20569,AHNAK,TRIM37
20570,AHNAK,TUBA1C
20571,AHNAK,TXNIP
20572,AHNAK,TPR
20573,AHNAK,TTC23
20574,AHNAK,U2AF2
20575,AHNAK,UBE3A
20576,AHNAK,UBE3C
20577,AHNAK,USP14
20578,AHNAK,USP2
20579,AHNAK,UBC
20580,AHNAK,VARS
20581,AHNAK,VDAC2
20582,AHNAK,WDFY4
20583,AHNAK,XRCC4
20584,AHNAK,YAP1
20585,AHNAK,YARS
20586,AHNAK,YTHDC1
20587,AHNAK,ZCCHC9
20588,AHNAK,ZNF131
20589,AHNAK,ZNF517
20590,AHNAK,GAG
20591,AHNAK,NSP12
20592,AHNAK,NSP7
20593,AHNAK,VPR
20835,AKT1,26-29-P
20836,AKT1,ABHD15
20837,AKT1,ABI1
20838,AKT1,ACAP1
20839,AKT1,ACAT2
20840,AKT1,ACTA1
20841,AKT1,ACTB
20842,AKT1,AGAP2
20843,AKT1,AGR3
20844,AKT1,AHSA1
20845,AKT1,AKT1S1
20846,AKT1,AKT2
20847,AKT1,AKT3
20848,AKT1,AKTIP
20849,AKT1,ALDOA
20850,AKT1,ALYREF
20851,AKT1,AMBRA1
20852,AKT1,ANXA2
20853,AKT1,ANXA2P2
20854,AKT1,APOE
20855,AKT1,APOH
20856,AKT1,APP
20857,AKT1,APPL1
20858,AKT1,AR
20859,AKT1,ARAF
20860,AKT1,ARFIP2
20861,AKT1,ARHGAP9
20862,AKT1,ARHGEF16
20863,AKT1,ARHGEF28
20864,AKT1,ARNT
20865,AKT1,ARRB1
20866,AKT1,ARRB2
20867,AKT1,ASXL1
20868,AKT1,ATP1A1
20869,AKT1,ATP6V0A2
20870,AKT1,ATPSYN-BETA
20871,AKT1,ATPSYN-GAMMA
20872,AKT1,ATRX
20873,AKT1,AURKA
20874,AKT1,AATS-ASN
20875,AKT1,ACN
20876,AKT1,ACT57B
20877,AKT1,ADRBK1
20878,AKT1,AKAP200
20879,AKT1,AKT1
20880,AKT1,AKT1S1
20881,AKT1,AKT2
20882,AKT1,APOH
20883,AKT1,APPL1
20884,AKT1,ARC42
20885,AKT1,ARF79F
20886,AKT1,ARRB1
20887,AKT1,ARRB2
20888,AKT1,ATG9
20889,AKT1,ATPALPHA
20890,AKT1,BABAM1
20891,AKT1,BAD
20892,AKT1,BAG2
20893,AKT1,BAG6
